Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_per_m,PC1,PC2,PC3
6,56,SOFT,2022,Mexico_City_Grand_Prix,R,83.709,6364.100108174427,-0.673670494448924,0.44859408739993034,-1.8047695518487985
10,42,SOFT,2022,Mexico_City_Grand_Prix,R,82.277,5602.658953597384,1.3632358824053428,-2.5411382436487138,-0.04538210799007123
11,30,MEDIUM,2022,Mexico_City_Grand_Prix,R,81.775,6818.633123193806,3.041769166014622,0.48315159197386365,-1.603288418633066
14,48,HARD,2022,Mexico_City_Grand_Prix,R,82.866,5710.305893258554,-1.7018428157104102,-0.6335791688028233,1.3548388317614972
16,48,MEDIUM,2022,Mexico_City_Grand_Prix,R,82.603,6014.017090027541,-0.6066290390144418,-0.8012953868734047,-0.33531202817287303
18,42,SOFT,2022,Mexico_City_Grand_Prix,R,82.463,5401.104565208748,-1.1921751372380778,-2.770826586053668,-0.4402236867043367
20,49,SOFT,2022,Mexico_City_Grand_Prix,R,83.3,6703.6696619982295,0.8196424900047727,0.4106430856711445,-0.7097980026310052
22,48,MEDIUM,2022,Mexico_City_Grand_Prix,R,83.403,6357.950200495067,-0.8158760530019029,1.2488760571379565,-1.4440848921304557
23,48,SOFT,2022,Mexico_City_Grand_Prix,R,82.914,5287.411524317965,-2.286106703804429,-1.896027395036448,-0.4443574975364054
24,47,SOFT,2022,Mexico_City_Grand_Prix,R,82.26,6363.39710549232,1.9383983675425764,-0.751866701785216,-1.006040038921997
31,48,HARD,2022,Mexico_City_Grand_Prix,R,83.279,5511.829855667359,-1.8771364632260232,-0.10350038896578288,1.706587238817723
44,32,HARD,2022,Mexico_City_Grand_Prix,R,82.062,6497.485484424494,1.563806300562964,0.1045032747756466,0.9797371266307588
47,30,MEDIUM,2022,Mexico_City_Grand_Prix,R,83.641,6156.959265906268,-1.2087700591233752,0.5952532413843334,-2.1451631187079663
55,32,MEDIUM,2022,Mexico_City_Grand_Prix,R,82.199,6087.265646989108,0.33233598192422675,-1.0243347301016401,-1.5513546343612776
63,71,SOFT,2022,Mexico_City_Grand_Prix,R,80.153,5565.392231393735,1.4174714473880021,-4.602754068823483,0.8051112621463679
77,43,HARD,2022,Mexico_City_Grand_Prix,R,83.363,5924.494780843473,-1.7388441988936227,1.0139600785620797,0.1227899981110945
1,59,HARD,2024,Singapore_Grand_Prix,R,95.967,5751.126654455753,3.5697478309216284,0.8073906064542349,2.3900271114083
3,60,SOFT,2024,Singapore_Grand_Prix,R,94.486,6391.782328907352,5.6010435344482685,-1.6080447913979454,-0.000797072183584136
4,48,HARD,2024,Singapore_Grand_Prix,R,94.925,5701.558593520545,0.2455000842033332,-1.5965968796508312,2.2302261301797466
10,46,SOFT,2024,Singapore_Grand_Prix,R,96.927,5544.421704802521,-0.7090605949546862,-1.3291039125595145,-0.7454777405626715
11,33,HARD,2024,Singapore_Grand_Prix,R,97.477,5460.079655126356,-2.5424708720395017,0.210436744514041,0.4350426283249557
14,54,HARD,2024,Singapore_Grand_Prix,R,97.741,5234.662428690592,-2.377866615032105,0.38598687709855745,1.628548709968112
16,46,HARD,2024,Singapore_Grand_Prix,R,95.371,5626.025691918127,0.3404957033278288,-0.8520299314348049,1.4730861190762745
