Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:13.154000,SAR,2,0 days 00:01:30.415000,2.0,1.0,,,0 days 00:00:28.924000,0 days 00:00:36.905000,0 days 00:00:24.586000,0 days 00:16:11.663000,0 days 00:16:48.568000,0 days 00:17:13.154000,311.0,260.0,249.0,321.0,True,MEDIUM,2.0,True,Williams,0 days 00:15:42.739000,2024-07-05 15:02:09.946,1,,None,,False,True
0 days 00:19:22.090000,SAR,2,0 days 00:02:08.936000,3.0,1.0,,,0 days 00:00:42.314000,0 days 00:00:56.016000,0 days 00:00:30.606000,0 days 00:17:55.468000,0 days 00:18:51.484000,0 days 00:19:22.090000,195.0,185.0,250.0,273.0,False,MEDIUM,3.0,True,Williams,0 days 00:17:13.154000,2024-07-05 15:03:40.361,1,,None,,False,True
0 days 00:20:51.451000,SAR,2,0 days 00:01:29.361000,4.0,1.0,,,0 days 00:00:28.682000,0 days 00:00:36.331000,0 days 00:00:24.348000,0 days 00:19:50.772000,0 days 00:20:27.103000,0 days 00:20:51.451000,313.0,263.0,247.0,322.0,True,MEDIUM,4.0,True,Williams,0 days 00:19:22.090000,2024-07-05 15:05:49.297,1,,None,,False,True
0 days 00:23:02.405000,SAR,2,0 days 00:02:10.954000,5.0,1.0,,,0 days 00:00:40.610000,0 days 00:00:53.659000,0 days 00:00:36.685000,0 days 00:21:32.061000,0 days 00:22:25.720000,0 days 00:23:02.405000,241.0,181.0,172.0,273.0,False,MEDIUM,5.0,True,Williams,0 days 00:20:51.451000,2024-07-05 15:07:18.658,1,,None,,False,True
0 days 00:25:04.635000,SAR,2,0 days 00:02:02.230000,6.0,1.0,,,0 days 00:00:42.737000,0 days 00:00:50.928000,0 days 00:00:28.565000,0 days 00:23:45.142000,0 days 00:24:36.070000,0 days 00:25:04.635000,274.0,215.0,249.0,293.0,False,MEDIUM,6.0,True,Williams,0 days 00:23:02.405000,2024-07-05 15:09:29.612,1,,None,,False,True
0 days 00:26:37.622000,SAR,2,0 days 00:01:32.987000,7.0,1.0,,0 days 00:26:31.639000,0 days 00:00:28.576000,0 days 00:00:37.431000,0 days 00:00:26.980000,0 days 00:25:33.211000,0 days 00:26:10.642000,0 days 00:26:37.622000,313.0,263.0,,291.0,False,MEDIUM,7.0,True,Williams,0 days 00:25:04.635000,2024-07-05 15:11:31.842,1,,None,,False,False
0 days 00:35:11.739000,SAR,2,,8.0,2.0,0 days 00:33:09.225000,,,0 days 00:00:51.491000,0 days 00:00:30.762000,,0 days 00:34:41.195000,0 days 00:35:11.891000,276.0,218.0,252.0,275.0,False,SOFT,1.0,True,Williams,0 days 00:26:37.622000,2024-07-05 15:13:04.829,1,,None,,False,False
0 days 00:36:39.753000,SAR,2,0 days 00:01:28.014000,9.0,2.0,,,0 days 00:00:28.224000,0 days 00:00:35.619000,0 days 00:00:24.171000,0 days 00:35:39.963000,0 days 00:36:15.582000,0 days 00:36:39.753000,310.0,265.0,249.0,324.0,True,SOFT,2.0,True,Williams,0 days 00:35:11.739000,2024-07-05 15:21:38.946,1,,None,,False,True
0 days 00:39:08.461000,SAR,2,0 days 00:02:28.708000,10.0,2.0,,,0 days 00:00:42.766000,0 days 00:01:03.012000,0 days 00:00:42.930000,0 days 00:37:22.519000,0 days 00:38:25.531000,0 days 00:39:08.461000,162.0,153.0,162.0,130.0,False,SOFT,3.0,True,Williams,0 days 00:36:39.753000,2024-07-05 15:23:06.960,1,,None,,False,True
0 days 00:41:23.282000,SAR,2,0 days 00:02:14.821000,11.0,2.0,,,0 days 00:00:43.291000,0 days 00:01:01.819000,0 days 00:00:29.711000,0 days 00:39:51.752000,0 days 00:40:53.571000,0 days 00:41:23.282000,239.0,231.0,253.0,248.0,False,SOFT,4.0,True,Williams,0 days 00:39:08.461000,2024-07-05 15:25:35.668,1,,None,,False,True
